Loc,Frequency,Name,Comment,Tone Mode,Tone,ToneSQL,Duplex,offset,Mode,Power,Notes
0,146.5200,NTSPLX,simplex 0 (national calling frequency),,,,,,FM,Med,Also RACES Primary Simplex
1,146.5400,SPLX01,simplex 1,,,,,,FM,Med,
2,146.5600,SPLX02,simplex 2,,,,,,FM,Med,
3,146.5800,SPLX03,simplex 3,,,,,,FM,Med,
4,147.4200,SPLX04,simplex 4,,,,,,FM,Med,
5,147.4400,SPLX05,simplex 5,,,,,,FM,Med,
6,147.4600,SPLX06,simplex 6,,,,,,FM,Med,
7,147.4800,SPLX07,simplex 7,,,,,,FM,Med,
8,147.5000,SPLX08,simplex 8,,,,,,FM,Med,
9,147.5200,SPLX09,simplex 9,,,,,,FM,Med,
10,147.5400,SPLX10,simplex 10,,,,,,FM,Med,
11,147.5600,SPLX11,simplex 11,,,,,,FM,Med,
12,,,,,,,,,,,
13,,,,,,,,,,,
14,,,,,,,,,,,
15,,,,,,,,,,,
16,,,,,,,,,,,
17,,,,,,,,,,,
18,146.5200,RACES1,Races primary Simplex,,,,,,FM,Med,
19,146.5400,RACES2,Races secondary Simplex,,,,,,FM,Med,
20,145.6950,ARES,National ARES,,,,,,FM,Med,
21,,,,,,,,,,,
22,446.2375,XBND01,CrossBand 01,TONE,123.0,,,,FM,High,
23,433.2375,XBND02,CrossBand 02,TONE,123.0,,,,FM,High,
24,,,,,,,,,,,
25,,,,,,,,,,,
26,,,,,,,,,,,
27,,,,,,,,,,,
28,,,,,,,,,,,
29,,,,,,,,,,,
30,144.3900,APRS,APRS,,,,,,FM,High,
31,144.3900,APRSVA,APRS with voice alert,TSQL,100.0,100.0,,,FM,High,Tone for Voice alert
32,144.9900,APRS2,ALT APRS,,,,,,FM,High,
33,,APRS3,APRS for JetBoat Races,,,,,,,,
34,,,,,,,,,,,
35,,,,,,,,,,,
36,,,,,,,,,,,
37,,,,,,,,,,,
38,,,,,,,,,,,
39,,,,,,,,,,,
40,162.4000,WX1,Weather 1,,,,,,FM,,http://www.nws.noaa.gov/nwr/coverage/station_listing.html
41,162.4250,WX2,Weather 2,,,,,,FM,,
42,162.4500,WX3,Weather 3,,,,,,FM,,
43,162.4750,WX4,Weather 4,,,,,,FM,,
44,162.5000,WX5,Weather 5,,,,,,FM,,
45,162.5250,WX6,Weather 6,,,,,,FM,,
46,162.5500,WX7,Weather 7,,,,,,FM,,
47,,,,,,,,,,,
48,,,,,,,,,,,
49,,,,,,,,,,,
50,442.6000,BARC,"Boise, ID",TONE,100.0,,+,5.000,FM,High,
51,442.6000,BARCTS,"Boise, ID",TSQL,100.0,100.0,+,5.000,FM,High,
52,146.5350,ASTBKK,"Boise, ID",,,,,,FM,High,
53,147.4800,ASTAAV,"Meridian, ID",TONE,110.9,,,,FM,High,#42734
54,147.4800,ASTLHV,"Nampa,ID",TONE,114.8,,,,FM,High,#42636
55,147.4800,ASTDHA,"Middleton, ID",TONE,118.8,,,,FM,High,#43174
56,,,,,,,,,,,
57,,,,,,,,,,,
58,,,,,,,,,,,
59,,,,,,,,,,,
60,444.2750,VW 427,Valley Wide React 427,TONE,123.0,,+,5.000,FM,High,
61,147.3200,VW 732,Valley Wide React 732,TONE,100.0,,+,0.600,FM,High,
62,444.3240,VW4324,Valley Wide React 4324,TONE,100.0,,+,5.000,FM,High,
63,147.2900,VW 729,Valley Wide React 729,TONE,100.0,,+,0.600,FM,High,
64,146.7800,VW 678,Valley Wide React 678,TONE,88.5,,-,0.600,FM,High,
,,,,,,,,,,,
70,146.7000,KIAUAEA,"Kauai, HI",TONE,100.0,,-,0.600,FM,High,
71,147.0400,LIH 04,"Kauai, HI",TONE,100.0,,+,0.600,FM,High,
72,147.0800,KAPAA08,"Kauai, HI",TONE,100.0,,+,0.600,FM,High,
73,147.1000,HANALEI,"Kauai, HI",TONE,100.0,,+,0.600,FM,High,
74,147.1600,LIHUE16,"Kauai, HI",TONE,100.0,,+,0.600,FM,High,
75,147.3400,KAPAA34,"Kauai, HI",TONE,100.0,,+,0.600,FM,High,
,,,,,,,,,,,
80,443.2000,KB7SYE,,TONE,100.0,,+,5.000,FM,High,
81,443.2500,K7ZZL,,TONE,110.9,,+,5.000,FM,High,
82,444.4750,KE7YD,,TONE,88.5,,+,5.000,FM,High,
83,444.6500,KA7EWN,,TONE,110.9,,+,5.000,FM,High,
84,444.7250,W7VWR,,TONE,100.0,,+,5.000,FM,High,
85,449.8500,WV7I,,TONE,173.8,,-,5.000,FM,High,
86,443.6000,BOI VOI,VOI ,TONE,100.0,,+,5.000,FM,High,
87,444.3500,DSTAR,VOI ,TONE,100.0,,,5.000,FM,High,
88,444.9000,BOI VOI,VOI,TONE,100.0,,,5.000,FM,High,
89,444.1250,N7IBC,McCall 70cm N7IBC,TONE,100.0,,,,,,
,,,,,,,,,,,
98,444.0750,UHF VOI ,VOI,TONE,100.0,,+,5.000,FM,High,
99,145.2900,VHF VOI,VOI,TONE,100.0,,-,0.600,FM,High,
100,146.8400,SHAFER,VOI 84,TONE,100.0,,-,0.600,FM,High,
101,146.9400,ISRA,ISRA,TONE,100.0,,-,0.600,FM,High,
102,147.2400,CINABAR,VOI 24 ,TONE,100.0,,+,0.600,FM,High,
103,146.6200,SNOBANK,,TONE,100.0,,-,0.600,FM,High,
104,147.2000,SQUAWBU,,TONE,100.0,,+,0.600,FM,High,
105,146.8200,ID CITY,,TONE,94.8,,-,0.600,FM,High,
106,147.0200,NOBIZMT,CIAR2N / KC7MCC,TONE,100.0,,+,0.600,FM,High,
107,146.9600,CASCADE,W7CIA ,TONE,123.0,,-,0.600,FM,High,
108,145.2300,WAREAGLE,,TONE,100.0,,-,0.600,FM,High,
109,147.3400,MTNHOME,,TONE,100.0,,+,0.600,FM,High,
110,145.2500,ADA 525,,TONE,100.0,100.0,-,0.600,FM,High,
111,146.7800,ADA 678,,TONE,100.0,,-,0.600,FM,High,
112,147.0800,ADA 708,,TONE,100.0,,+,0.600,FM,High,
113,147.2600,ADA 726,,TONE,100.0,,+,0.600,FM,High,
114,147.3000,ADA 730,,TONE,100.0,,+,0.600,FM,High,
115,147.3200,ADA 732,,TONE,100.0,,+,0.600,FM,High,
116,147.3800,ADA 738,,TONE,103.5,,+,0.600,FM,High,
117,145.3500,CAN 535,,TONE,100.0,,-,0.600,FM,High,
118,147.1400,GALENA,,TONE,100.0,,+,0.600,FM,High,
119,146.8800,MARSNG,K7ZZL,TONE,100.0,,-,0.600,FM,High,
120,146.9000,MCCALL,CIAR2B / KC7MCC,TONE,123.0,,-,0.600,FM,High,
121,,,,,,,,,,,
122,147.2200,JTBOAT,Jetboat ALT frequency,TONE,77.0,,+,0.600,FM,High,
123,,,,,,,,,,,
124,,,,,,,,,,,
125,,,,,,,,,,,
126,,,,,,,,,,,
127,,,,,,,,,,,
128,,,,,,,,,,,
129,,,,,,,,,,,
130,147.2200,NYSSA,W7PAG,TONE,103.5,,+,0.600,FM,High,
131,147.1000,ONTRIO,K7OJI,TONE,100.0,,+,0.600,FM,High,
132,147.1200,LIME,K7OJI,TONE,100.0,,+,0.600,FM,High,
133,146.7200,VALE,W7PAG,TONE,103.5,,-,0.600,FM,High,
134,145.2700,BAKER,W7NYW,TONE,110.9,,-,0.600,FM,High,
135,147.3000,BURNSE,W7JVO,TONE,162.2,,+,0.600,FM,High,
136,146.7600,BURNSW,KF7HPT,TONE,103.5,,-,0.600,FM,High,
137,145.1700,LIMEHL,W7NYW,TONE,110.9,,-,0.600,FM,High,